epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2140.15,0.82123,0.66851,1.20472,0.71359,0.43531,0.4489,0.3378,0.68279,0.56732,1.03085,0.000302802,0.000302802,0.000302802
2,3254.94,0.87715,0.77067,1.22489,0.66905,0.4276,0.42955,0.31783,0.73694,0.64734,1.0752,0.000545828,0.000545828,0.000545828
3,4688.4,0.8951,0.78715,1.23233,0.58525,0.49471,0.44294,0.33508,0.7139,0.59872,1.0598,0.00072886,0.00072886,0.00072886
4,5981.68,0.85615,0.73674,1.19991,0.53696,0.49955,0.46096,0.34527,0.69287,0.55992,1.04595,0.000639027,0.000639027,0.000639027
5,7674.99,0.79777,0.66574,1.16087,0.58451,0.53551,0.49755,0.37454,0.63498,0.50787,1.01074,0.000549036,0.000549036,0.000549036
6,9178.21,0.74315,0.61091,1.12096,0.52999,0.54718,0.50571,0.38641,0.59613,0.47237,0.98166,0.000459045,0.000459045,0.000459045
7,16629.3,0.6935,0.56026,1.08413,0.61008,0.54101,0.51272,0.39444,0.556,0.44,0.95687,0.000369054,0.000369054,0.000369054
8,18015.2,0.64768,0.51894,1.05528,0.53546,0.56871,0.5136,0.40094,0.5296,0.41396,0.93943,0.000279063,0.000279063,0.000279063
9,19415.3,0.5999,0.47642,1.02389,0.65192,0.56596,0.53494,0.42256,0.49815,0.38933,0.92537,0.000189072,0.000189072,0.000189072
10,20843,0.56123,0.44269,1.00222,0.57393,0.58565,0.53814,0.43202,0.46955,0.36973,0.90814,9.9081e-05,9.9081e-05,9.9081e-05
