epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,621.529,1.25404,1.31027,1.23615,0.94996,0.89259,0.94136,0.5524,1.44361,0.77013,1.33069,0.000666163,0.000666163,0.000666163
2,1148.13,1.23762,0.73017,1.24595,0.91672,0.84158,0.91487,0.57208,1.33232,0.77157,1.28926,0.00120088,0.00120088,0.00120088
3,1665.6,1.21077,0.66382,1.23878,0.96006,0.90205,0.94979,0.59679,1.35279,0.65782,1.27531,0.0016036,0.0016036,0.0016036
4,2173.36,1.1827,0.61566,1.22406,0.96677,0.91438,0.95601,0.62103,1.26311,0.58791,1.2391,0.001406,0.001406,0.001406
5,2681.41,1.15394,0.56872,1.21186,0.96307,0.92954,0.96254,0.6217,1.28748,0.56309,1.25714,0.001208,0.001208,0.001208
6,3217.68,1.1277,0.53672,1.19881,0.97464,0.93433,0.9717,0.65101,1.22094,0.52262,1.20918,0.00101,0.00101,0.00101
7,3725.95,1.10386,0.50116,1.18285,0.9734,0.94395,0.97359,0.65778,1.21415,0.49362,1.19922,0.000812,0.000812,0.000812
8,4231.88,1.08431,0.47499,1.16885,0.97859,0.94338,0.97659,0.66103,1.2133,0.47021,1.19855,0.000614,0.000614,0.000614
9,4740.15,1.06256,0.4473,1.1528,0.97923,0.94841,0.97811,0.6845,1.15089,0.44829,1.16861,0.000416,0.000416,0.000416
10,5248.95,1.03501,0.42422,1.13805,0.9807,0.94794,0.97982,0.68537,1.14788,0.43846,1.1653,0.000218,0.000218,0.000218
