epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,693.181,1.05161,0.44575,1.15139,0.98291,0.9273,0.97539,0.65206,1.20941,0.4924,1.20858,0.000666163,0.000666163,0.000666163
2,1213.14,1.10144,0.50491,1.18284,0.96513,0.9273,0.96411,0.6344,1.25323,0.54233,1.22533,0.00120088,0.00120088,0.00120088
3,1729.19,1.11396,0.51565,1.19315,0.97249,0.92852,0.96845,0.65087,1.21742,0.53256,1.20868,0.0016036,0.0016036,0.0016036
4,2251.11,1.1026,0.50679,1.18428,0.96281,0.93504,0.96606,0.65686,1.20626,0.50988,1.20623,0.001406,0.001406,0.001406
5,2773.39,1.07724,0.48532,1.16798,0.98644,0.93621,0.97667,0.65832,1.21796,0.48602,1.21869,0.001208,0.001208,0.001208
6,3300.13,1.05963,0.46335,1.16178,0.97612,0.93949,0.97262,0.67171,1.17895,0.47022,1.1954,0.00101,0.00101,0.00101
7,3808.31,1.03745,0.43973,1.14541,0.97441,0.94676,0.97801,0.67743,1.15933,0.4547,1.17468,0.000812,0.000812,0.000812
8,4309.82,1.02194,0.4246,1.13496,0.98367,0.94606,0.97972,0.68548,1.1515,0.44157,1.17079,0.000614,0.000614,0.000614
9,4809.69,1.00158,0.40509,1.12153,0.98201,0.94729,0.98153,0.691,1.14902,0.4256,1.16296,0.000416,0.000416,0.000416
10,5307.89,0.98292,0.38984,1.10847,0.97822,0.95779,0.98174,0.6931,1.13155,0.41903,1.15503,0.000218,0.000218,0.000218
