epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,231.197,1.80646,2.95627,1.77173,0.26755,0.2869,0.24322,0.10794,1.8194,2.53751,1.97268,0.00332731,0.00332731,0.00332731
2,433.323,1.78353,2.44555,1.75558,0.19289,0.29099,0.20049,0.07587,1.96012,2.62004,2.13483,0.0065947,0.0065947,0.0065947
3,633.613,1.84438,2.36821,1.83252,0.33205,0.26717,0.26289,0.07914,2.00023,2.70903,2.26477,0.00979609,0.00979609,0.00979609
4,828.793,1.88472,2.34142,1.87612,0.25967,0.33563,0.268,0.11346,1.90549,2.12479,2.08083,0.009703,0.009703,0.009703
5,1023.84,1.83997,2.24603,1.85709,0.29674,0.30696,0.27395,0.11667,1.91677,2.14577,2.16839,0.009604,0.009604,0.009604
6,1223.51,1.80372,2.17323,1.83454,0.2198,0.27306,0.23905,0.09414,1.99323,2.13544,2.17746,0.009505,0.009505,0.009505
7,1419.75,1.78818,2.12512,1.81523,0.30873,0.3158,0.29845,0.13824,1.84416,2.14049,2.03735,0.009406,0.009406,0.009406
8,1615.37,1.77266,2.09439,1.80727,0.38766,0.32506,0.31208,0.13333,1.8834,2.31421,2.0672,0.009307,0.009307,0.009307
9,1810.17,1.75872,2.066,1.79678,0.41766,0.29765,0.335,0.15921,1.91825,2.12285,2.08816,0.009208,0.009208,0.009208
10,2004.55,1.74602,2.03881,1.78835,0.3294,0.28262,0.31848,0.15505,1.73638,1.90877,1.93679,0.009109,0.009109,0.009109
11,2198.66,1.73085,2.00618,1.78035,0.36225,0.27457,0.31927,0.15444,1.77071,1.93844,1.95084,0.00901,0.00901,0.00901
12,2392.76,1.71921,1.99252,1.7699,0.27218,0.33224,0.28481,0.14446,1.82822,1.9255,2.03778,0.008911,0.008911,0.008911
13,2587.38,1.71588,1.96814,1.75904,0.71634,0.27675,0.32467,0.1576,1.83498,1.88425,2.05652,0.008812,0.008812,0.008812
14,2782.56,1.71538,1.96056,1.74989,0.32401,0.26525,0.30251,0.14866,1.81324,1.97862,1.98222,0.008713,0.008713,0.008713
15,2977.46,1.70185,1.94078,1.75378,0.39855,0.34064,0.3206,0.15513,1.83007,1.9979,2.02907,0.008614,0.008614,0.008614
16,3172.61,1.69149,1.92303,1.74585,0.33596,0.33144,0.33477,0.1693,1.84218,2.05544,2.02203,0.008515,0.008515,0.008515
17,3368,1.68129,1.92223,1.74326,0.37483,0.34152,0.3421,0.16643,1.77134,1.9453,1.99138,0.008416,0.008416,0.008416
18,3563.1,1.68493,1.92106,1.73276,0.31258,0.31332,0.34736,0.17833,1.68931,1.91496,1.90691,0.008317,0.008317,0.008317
19,3758.58,1.66757,1.87753,1.71638,0.2812,0.43487,0.36068,0.1878,1.66049,1.82769,1.88496,0.008218,0.008218,0.008218
20,3954.77,1.67206,1.87385,1.72291,0.29453,0.38367,0.35665,0.17898,1.73497,1.91941,1.92282,0.008119,0.008119,0.008119
21,4151.25,1.6637,1.87631,1.71848,0.38741,0.30917,0.3559,0.18807,1.75368,1.8485,1.96283,0.00802,0.00802,0.00802
22,4346.79,1.66627,1.86193,1.71461,0.29318,0.42438,0.3529,0.17569,1.69618,1.77953,1.89876,0.007921,0.007921,0.007921
23,4541.44,1.65694,1.85773,1.71054,0.30943,0.35211,0.3608,0.18175,1.76139,1.80342,1.97666,0.007822,0.007822,0.007822
24,4737.98,1.64678,1.83334,1.69479,0.34716,0.31403,0.36147,0.1881,1.67753,1.82025,1.89486,0.007723,0.007723,0.007723
25,4932.99,1.65552,1.83752,1.69657,0.58744,0.29496,0.3941,0.20852,1.68489,1.86695,1.87106,0.007624,0.007624,0.007624
26,5127.72,1.64201,1.81338,1.69599,0.32861,0.34526,0.34352,0.18599,1.71067,1.85972,1.93347,0.007525,0.007525,0.007525
27,5322.45,1.64171,1.80864,1.69302,0.34127,0.36834,0.38073,0.20031,1.6911,1.81282,1.90719,0.007426,0.007426,0.007426
28,5517.23,1.63445,1.80382,1.68977,0.52109,0.29507,0.38436,0.20406,1.83964,1.81361,2.0319,0.007327,0.007327,0.007327
29,5711.88,1.63873,1.79399,1.68127,0.37649,0.42529,0.38786,0.21494,1.69633,1.7454,1.911,0.007228,0.007228,0.007228
30,5907.05,1.63031,1.77799,1.68199,0.57623,0.28626,0.38814,0.21899,1.66879,1.84144,1.88235,0.007129,0.007129,0.007129
31,6102.58,1.6294,1.79444,1.67993,0.32977,0.47742,0.38024,0.19831,1.75122,1.88871,1.91429,0.00703,0.00703,0.00703
32,6298.12,1.63184,1.77497,1.67679,0.40798,0.37476,0.39882,0.21748,1.6725,1.82423,1.86837,0.006931,0.006931,0.006931
33,6493.72,1.61514,1.76564,1.66625,0.36933,0.44145,0.39674,0.20682,1.6202,1.81328,1.84499,0.006832,0.006832,0.006832
34,6688.45,1.6227,1.75587,1.67151,0.32403,0.39605,0.36582,0.20017,1.66931,1.74046,1.88234,0.006733,0.006733,0.006733
35,6883.56,1.61214,1.74852,1.66678,0.46765,0.27301,0.37131,0.1974,1.74304,1.83558,1.92868,0.006634,0.006634,0.006634
36,7078.89,1.61169,1.75247,1.6655,0.35879,0.42692,0.37894,0.20692,1.70932,1.76711,1.91031,0.006535,0.006535,0.006535
37,7273.65,1.60225,1.73898,1.66119,0.37458,0.53687,0.44542,0.23753,1.66649,1.72342,1.88101,0.006436,0.006436,0.006436
38,7470.38,1.61539,1.73503,1.66004,0.40109,0.36171,0.40569,0.22336,1.68081,1.67489,1.87371,0.006337,0.006337,0.006337
39,7664.86,1.60199,1.72859,1.6535,0.38806,0.40697,0.3892,0.22003,1.64438,1.73725,1.83491,0.006238,0.006238,0.006238
40,7860.02,1.60221,1.72396,1.65165,0.36644,0.40365,0.41432,0.22817,1.65584,1.75002,1.86524,0.006139,0.006139,0.006139
