epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,626.331,0.92871,0.36461,1.08064,0.97448,0.95638,0.98079,0.68728,1.15389,0.42308,1.17209,0.000666163,0.000666163,0.000666163
2,1157.33,0.94186,0.38464,1.08955,0.97292,0.94386,0.97613,0.68066,1.14935,0.45513,1.17837,0.00120088,0.00120088,0.00120088
3,1685.81,0.96388,0.40088,1.10572,0.96999,0.93621,0.97153,0.64591,1.28722,0.48345,1.26557,0.0016036,0.0016036,0.0016036
4,2234.64,0.96391,0.40226,1.10064,0.97059,0.94559,0.97299,0.67878,1.1519,0.44795,1.1748,0.001406,0.001406,0.001406
5,2818.42,0.9512,0.39183,1.0909,0.97638,0.95497,0.979,0.67663,1.17734,0.43347,1.19666,0.001208,0.001208,0.001208
6,3434.17,0.93662,0.37908,1.08479,0.97162,0.94934,0.97837,0.68172,1.15512,0.42641,1.17546,0.00101,0.00101,0.00101
7,3963.73,0.91837,0.36718,1.0733,0.97976,0.94747,0.97906,0.69121,1.13855,0.419,1.15925,0.000812,0.000812,0.000812
8,4507.74,0.90877,0.35857,1.06507,0.98093,0.94934,0.97801,0.68967,1.14445,0.41376,1.16628,0.000614,0.000614,0.000614
9,5029.24,0.91491,0.35152,1.06492,0.97878,0.95179,0.98049,0.69617,1.13184,0.39969,1.15304,0.000416,0.000416,0.000416
10,5591.02,0.9091,0.3437,1.05958,0.97601,0.95122,0.98103,0.69693,1.13079,0.39684,1.15516,0.000218,0.000218,0.000218
