epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.9369,1.02115,2.20332,1.13681,0.5673,0.32944,0.38611,0.27199,1.01376,2.44913,1.21505,0.000365396,0.000365396,0.000365396
2,61.0424,1.05463,1.56011,1.16023,0.39456,0.48598,0.42731,0.22292,1.2155,1.94343,1.46602,0.000728445,0.000728445,0.000728445
3,88.4097,1.10282,1.51761,1.20297,0.72807,0.28393,0.37579,0.25308,1.1373,2.12691,1.37062,0.00108416,0.00108416,0.00108416
4,115.306,1.06181,1.36694,1.16799,0.48562,0.35133,0.34656,0.22482,1.32335,1.7047,1.5105,0.001078,0.001078,0.001078
5,142.282,1.05152,1.32373,1.17478,0.59079,0.30968,0.3613,0.23523,1.1299,1.47634,1.33987,0.001067,0.001067,0.001067
6,169.456,1.04648,1.25952,1.17136,0.42308,0.48007,0.44057,0.28315,1.09122,1.53579,1.35153,0.00105601,0.00105601,0.00105601
7,197.593,1.03027,1.20324,1.1643,0.50453,0.40938,0.47077,0.29168,1.09056,1.48482,1.34321,0.00104501,0.00104501,0.00104501
8,224.708,1.04464,1.17247,1.16683,0.74273,0.37528,0.45118,0.29115,1.17628,1.44562,1.44353,0.00103401,0.00103401,0.00103401
9,251.93,1.01724,1.12941,1.15898,0.69081,0.45708,0.56027,0.36347,1.07016,1.35218,1.30692,0.00102301,0.00102301,0.00102301
10,278.909,1.00449,1.07938,1.14024,0.78612,0.41317,0.4217,0.27243,1.11294,1.6208,1.33949,0.00101201,0.00101201,0.00101201
11,305.97,0.99216,1.07278,1.14096,0.63127,0.53657,0.60325,0.37516,1.08397,1.27054,1.32254,0.00100101,0.00100101,0.00100101
12,333.18,0.97268,1.0081,1.129,0.6479,0.51146,0.57047,0.36481,1.11275,1.37085,1.36938,0.000990012,0.000990012,0.000990012
